data_month,cty_code,cty_name,chapter,rate,rate_dutiable,duty_free_share,con_val,cal_dut,dut_val
2010-01,5520,VIETNAM,82,0.038537,0.064117,0.39896,4290640,165347,2578848
2010-01,5520,VIETNAM,83,0.008586,0.028989,0.703822,622076,5341,184245
2010-01,5520,VIETNAM,84,0.001406,0.030016,0.95316,51479843,72378,2411326
2010-01,5520,VIETNAM,85,0.021954,0.041356,0.469147,47287803,1038149,25102885
2010-01,5520,VIETNAM,87,0.025051,0.02564,0.022958,5733080,143622,5601460
2010-01,5520,VIETNAM,88,0.007997,0.029985,0.733301,50019,400,13340
2010-01,5520,VIETNAM,90,0.003566,0.021882,0.837026,7515411,26801,1224814
2010-01,5520,VIETNAM,92,0.053088,0.053088,0.0,173315,9201,173315
2010-01,5520,VIETNAM,93,0.016726,0.029015,0.423537,54765,916,31570
2010-01,5520,VIETNAM,94,0.000169,0.05074,0.996674,137714985,23241,458044
2010-01,5520,VIETNAM,95,0.015029,0.047294,0.682212,10017236,150554,3183353
2010-01,5520,VIETNAM,96,0.041162,0.048869,0.157709,1749920,72030,1473942
2010-01,5520,VIETNAM,97,0.0,,1.0,34066,0,0
2010-01,5520,VIETNAM,98,0.0,,1.0,1509314,0,0
2010-01,5520,VIETNAM,99,0.0,0.0,0.0,2782238,0,2782238
2010-02,5520,VIETNAM,01,0.0,,1.0,14208,0,0
2010-02,5520,VIETNAM,02,0.0,,1.0,5037,0,0
2010-02,5520,VIETNAM,03,2.5e-05,0.007251,0.996487,28543839,727,100263
2010-02,5520,VIETNAM,04,0.009028,0.009028,0.0,1785590,16120,1785590
2010-02,5520,VIETNAM,05,0.0,,1.0,2692,0,0
2010-02,5520,VIETNAM,06,0.049723,0.049723,0.0,62566,3111,62566
2010-02,5520,VIETNAM,07,0.130177,0.130177,0.0,115804,15075,115804
2010-02,5520,VIETNAM,08,0.00036,0.027286,0.986815,16857882,6065,222275
2010-02,5520,VIETNAM,09,1.4e-05,0.018528,0.999267,38293462,520,28066
2010-02,5520,VIETNAM,10,0.019792,0.019792,0.0,573769,11356,573769
2010-02,5520,VIETNAM,11,0.000211,0.000618,0.65793,18923,4,6473
2010-02,5520,VIETNAM,12,0.000241,0.001725,0.860568,95609,23,13331
2010-02,5520,VIETNAM,14,0.0,,1.0,88366,0,0
2010-02,5520,VIETNAM,16,0.039423,0.116981,0.662999,10616075,418514,3577624
2010-02,5520,VIETNAM,17,0.052232,0.052232,0.0,108095,5646,108095
2010-02,5520,VIETNAM,18,0.0,,1.0,54954,0,0
2010-02,5520,VIETNAM,19,0.031492,0.057927,0.456348,2075606,65365,1128408
2010-02,5520,VIETNAM,20,0.03031,0.064851,0.532618,2266339,68693,1059247
2010-02,5520,VIETNAM,21,0.073587,0.094083,0.21785,1183610,87098,925761
2010-02,5520,VIETNAM,22,0.000944,0.001039,0.091385,106976,101,97200
2010-02,5520,VIETNAM,23,0.013998,0.013998,0.0,58936,825,58936
2010-02,5520,VIETNAM,25,0.0,,1.0,7629,0,0
2010-02,5520,VIETNAM,27,0.001327,0.001327,0.0,36089022,47907,36089022
2010-02,5520,VIETNAM,28,0.004998,0.004998,0.0,151273,756,151273
2010-02,5520,VIETNAM,29,0.04127,0.04127,0.0,81222,3352,81222
2010-02,5520,VIETNAM,30,0.0,,1.0,13200,0,0
2010-02,5520,VIETNAM,32,0.058997,0.058997,0.0,667798,39398,667798
2010-02,5520,VIETNAM,33,0.011872,0.06002,0.802196,44726,531,8847
2010-02,5520,VIETNAM,34,0.000331,0.037999,0.991294,8508906,2815,74080
2010-02,5520,VIETNAM,35,0.041779,0.041779,0.0,322078,13456,322078
2010-02,5520,VIETNAM,38,0.000995,0.000995,0.0,21096,21,21096
2010-02,5520,VIETNAM,39,0.039938,0.040975,0.025316,7236797,289021,7053589
2010-02,5520,VIETNAM,40,0.023345,0.036465,0.359792,9116163,212818,5836244
2010-02,5520,VIETNAM,42,0.121073,0.134668,0.100952,17029086,2061761,15309962
2010-02,5520,VIETNAM,43,0.010922,0.032227,0.661092,92016,1005,31185
2010-02,5520,VIETNAM,44,0.024738,0.044089,0.438924,2477367,61284,1389991
2010-02,5520,VIETNAM,46,0.046679,0.052562,0.111925,1556351,72649,1382156
2010-02,5520,VIETNAM,48,0.0,,1.0,2740706,0,0
2010-02,5520,VIETNAM,49,0.0,,1.0,88378,0,0
2010-02,5520,VIETNAM,50,0.0,,1.0,43275,0,0
2010-02,5520,VIETNAM,52,0.083479,0.083479,0.0,664535,55475,664535
2010-02,5520,VIETNAM,53,0.0,,1.0,64991,0,0
2010-02,5520,VIETNAM,54,0.064423,0.14451,0.5542,315758,20342,140765
2010-02,5520,VIETNAM,55,0.065587,0.065587,0.0,1026115,67300,1026115
2010-02,5520,VIETNAM,56,0.069353,0.070273,0.013097,660980,45841,652323
2010-02,5520,VIETNAM,57,0.058033,0.059991,0.032646,84297,4892,81545
2010-02,5520,VIETNAM,58,0.065099,0.065099,0.0,166439,10835,166439
2010-02,5520,VIETNAM,59,0.056352,0.056352,0.0,8069469,454727,8069469
2010-02,5520,VIETNAM,60,0.111053,0.111053,0.0,357092,39656,357092
2010-02,5520,VIETNAM,61,0.190959,0.190961,1.2e-05,251197244,47968262,251194198
2010-02,5520,VIETNAM,62,0.167092,0.167103,6.8e-05,197968737,33078954,197955349
2010-02,5520,VIETNAM,63,0.074335,0.079552,0.065589,6389693,474975,5970602
2010-02,5520,VIETNAM,64,0.124585,0.125148,0.004501,108371473,13501424,107883693
2010-02,5520,VIETNAM,65,0.077464,0.079768,0.028883,6544246,506941,6355229
2010-02,5520,VIETNAM,66,0.035683,0.070955,0.497099,98057,3499,49313
2010-02,5520,VIETNAM,67,0.005451,0.090099,0.939498,83469,455,5050
2010-02,5520,VIETNAM,68,0.021997,0.057597,0.618091,496205,10915,189505
2010-02,5520,VIETNAM,69,0.059451,0.061193,0.028465,4308885,256168,4186232
2010-02,5520,VIETNAM,70,0.053241,0.053241,0.0,3276659,174451,3276659
2010-02,5520,VIETNAM,71,0.023914,0.062625,0.618142,2595674,62073,991179
2010-02,5520,VIETNAM,72,0.012499,0.055999,0.776794,499148,6239,111413
2010-02,5520,VIETNAM,73,0.021066,0.037435,0.43727,8785119,185067,4943650
2010-02,5520,VIETNAM,74,0.023409,0.030001,0.219732,262037,6134,204459
2010-02,5520,VIETNAM,76,0.032332,0.032332,0.0,511623,16542,511623
2010-02,5520,VIETNAM,78,0.029905,0.029905,0.0,3578,107,3578
2010-02,5520,VIETNAM,79,0.030073,0.030073,0.0,23842,717,23842
2010-02,5520,VIETNAM,81,0.140007,0.140007,0.0,48926,6850,48926
2010-02,5520,VIETNAM,82,0.055702,0.072676,0.233558,3276660,182515,2511369
2010-02,5520,VIETNAM,83,0.008069,0.023066,0.650199,632328,5102,221189
2010-02,5520,VIETNAM,84,0.001029,0.030502,0.966269,43524957,44781,1468146
2010-02,5520,VIETNAM,85,0.019238,0.041703,0.538683,47506378,913942,21915501
2010-02,5520,VIETNAM,87,0.0233,0.025592,0.089538,7312111,170375,6657398
2010-02,5520,VIETNAM,88,0.029911,0.029911,0.0,2240,67,2240
2010-02,5520,VIETNAM,89,0.027143,0.027143,0.0,2100,57,2100
2010-02,5520,VIETNAM,90,0.00442,0.022419,0.802828,6074456,26851,1197710
2010-02,5520,VIETNAM,91,0.0,0.0,0.0,2380,0,2380
2010-02,5520,VIETNAM,92,0.051634,0.051634,0.0,188712,9744,188712
2010-02,5520,VIETNAM,93,0.007216,0.029098,0.752004,24944,180,6186
2010-02,5520,VIETNAM,94,0.000213,0.051933,0.995904,137546838,29255,563325
2010-02,5520,VIETNAM,95,0.012808,0.047375,0.729656,10411687,133348,2814732
2010-02,5520,VIETNAM,96,0.033263,0.043903,0.242349,1669724,55540,1265068
2010-02,5520,VIETNAM,97,0.0,,1.0,22045,0,0
2010-02,5520,VIETNAM,98,0.0,,1.0,1343304,0,0
2010-02,5520,VIETNAM,99,0.0,0.0,0.0,2641918,0,2641918
2010-03,5520,VIETNAM,01,0.0,,1.0,9644,0,0
2010-03,5520,VIETNAM,03,7.4e-05,0.060005,0.998764,30537921,2265,37747
2010-03,5520,VIETNAM,04,0.009476,0.009476,0.0,1477094,13997,1477094
2010-03,5520,VIETNAM,05,0.0,,1.0,35351,0,0
2010-03,5520,VIETNAM,06,0.054649,0.054649,0.0,42325,2313,42325
2010-03,5520,VIETNAM,07,0.134727,0.134727,0.0,71849,9680,71849
2010-03,5520,VIETNAM,08,0.000634,0.027602,0.977046,12480158,7907,286466
2010-03,5520,VIETNAM,09,3.3e-05,0.024965,0.998664,28386003,947,37933
2010-03,5520,VIETNAM,10,0.018502,0.018502,0.0,268294,4964,268294
2010-03,5520,VIETNAM,11,0.016999,0.020452,0.168864,17825,303,14815
2010-03,5520,VIETNAM,12,8.6e-05,0.000983,0.912842,163381,14,14240
2010-03,5520,VIETNAM,13,0.0,,1.0,2500,0,0
2010-03,5520,VIETNAM,14,0.0,,1.0,35873,0,0
2010-03,5520,VIETNAM,16,0.060472,0.121142,0.500814,11560410,699086,5770790
2010-03,5520,VIETNAM,17,0.032235,0.032235,0.0,15139,488,15139
2010-03,5520,VIETNAM,18,0.019989,0.019989,0.0,34970,699,34970
2010-03,5520,VIETNAM,19,0.022917,0.053228,0.569452,1574680,36087,677976
2010-03,5520,VIETNAM,20,0.041113,0.071263,0.423086,1328445,54616,766398
2010-03,5520,VIETNAM,21,0.068635,0.081169,0.154416,696054,47774,588572
2010-03,5520,VIETNAM,22,0.000561,0.00117,0.520058,55215,31,26500
2010-03,5520,VIETNAM,23,0.013998,0.013998,0.0,58936,825,58936
2010-03,5520,VIETNAM,25,0.0,,1.0,14476,0,0
2010-03,5520,VIETNAM,27,0.000412,0.000635,0.351723,10473211,4314,6789545
2010-03,5520,VIETNAM,28,0.004992,0.004992,0.0,57889,289,57889
2010-03,5520,VIETNAM,29,0.019173,0.035002,0.452241,961412,18433,526622
2010-03,5520,VIETNAM,30,0.0,,1.0,10904,0,0
2010-03,5520,VIETNAM,32,0.057904,0.057904,0.0,770220,44599,770220
2010-03,5520,VIETNAM,33,0.050743,0.06,0.154275,112902,5729,95484
2010-03,5520,VIETNAM,34,0.000832,0.038004,0.978121,6199591,5155,135643
2010-03,5520,VIETNAM,35,0.042483,0.042483,0.0,276231,11735,276231
2010-03,5520,VIETNAM,38,0.030028,0.030028,0.0,67538,2028,67538
2010-03,5520,VIETNAM,39,0.041493,0.042872,0.032169,7192593,298443,6961217
2010-03,5520,VIETNAM,40,0.021789,0.03558,0.387612,9886860,215424,6054591
2010-03,5520,VIETNAM,41,0.002387,0.026667,0.910474,3351,8,300
2010-03,5520,VIETNAM,42,0.111139,0.120031,0.074077,16205753,1801093,15005280
2010-03,5520,VIETNAM,43,0.000323,0.040559,0.992033,89740,29,715
2010-03,5520,VIETNAM,44,0.025142,0.040168,0.374091,3486934,87667,2182503
2010-03,5520,VIETNAM,45,0.0,,1.0,21448,0,0
2010-03,5520,VIETNAM,46,0.051158,0.057045,0.103198,1289859,65987,1156748
2010-03,5520,VIETNAM,48,0.0,,1.0,5530282,0,0
2010-03,5520,VIETNAM,49,0.0,,1.0,25581,0,0
2010-03,5520,VIETNAM,50,0.0,,1.0,40962,0,0
2010-03,5520,VIETNAM,52,0.079324,0.079324,0.0,563082,44666,563082
2010-03,5520,VIETNAM,53,0.0,,1.0,143225,0,0
2010-03,5520,VIETNAM,54,0.080279,0.101619,0.209999,645873,51850,510240
2010-03,5520,VIETNAM,55,0.061009,0.061009,0.0,1905971,116282,1905971
2010-03,5520,VIETNAM,56,0.05746,0.057517,0.000995,492573,28303,492083
2010-03,5520,VIETNAM,57,0.054981,0.059996,0.083584,34612,1903,31719
2010-03,5520,VIETNAM,58,0.064203,0.064314,0.001729,152718,9805,152454
2010-03,5520,VIETNAM,59,0.057593,0.057593,0.0,12559321,723331,12559321
2010-03,5520,VIETNAM,60,0.115715,0.115715,0.0,94612,10948,94612
2010-03,5520,VIETNAM,61,0.184019,0.184025,3e-05,225532828,41502326,225526041
2010-03,5520,VIETNAM,62,0.165064,0.165162,0.000593,156727945,25870140,156634962
2010-03,5520,VIETNAM,63,0.0764,0.080491,0.050825,6017148,459713,5711327
2010-03,5520,VIETNAM,64,0.127166,0.127442,0.002169,98823761,12567008,98609435
2010-03,5520,VIETNAM,65,0.076729,0.078045,0.016862,6746793,517676,6633027
2010-03,5520,VIETNAM,66,0.027242,0.059885,0.5451,165298,4503,75194
2010-03,5520,VIETNAM,67,0.001472,0.128297,0.988525,145364,214,1668
2010-03,5520,VIETNAM,68,0.013958,0.037654,0.629303,791509,11048,293410
2010-03,5520,VIETNAM,69,0.057866,0.060007,0.035679,4654532,269338,4488464
2010-03,5520,VIETNAM,70,0.055144,0.055144,0.0,2934505,161821,2934505
2010-03,5520,VIETNAM,71,0.020978,0.058825,0.643377,4349910,91254,1551278
2010-03,5520,VIETNAM,72,0.0,,1.0,576042,0,0
2010-03,5520,VIETNAM,73,0.020297,0.038259,0.46948,8796647,178549,4666794
2010-03,5520,VIETNAM,74,0.027716,0.030006,0.076319,286481,7940,264617
2010-03,5520,VIETNAM,76,0.028838,0.029544,0.023889,321276,9265,313601
2010-03,5520,VIETNAM,81,0.14,0.14,0.0,1114019,155963,1114019
2010-03,5520,VIETNAM,82,0.052315,0.068257,0.233564,2929021,153231,2244907
2010-03,5520,VIETNAM,83,0.012749,0.029827,0.572583,529541,6751,226335
2010-03,5520,VIETNAM,84,0.001997,0.035226,0.943322,36571313,73017,2072787
2010-03,5520,VIETNAM,85,0.019048,0.037758,0.495529,54928503,1046264,27709823
2010-03,5520,VIETNAM,87,0.022833,0.025832,0.11611,6220559,142032,5498293
2010-03,5520,VIETNAM,88,0.011493,0.030001,0.616906,47333,544,18133
2010-03,5520,VIETNAM,89,0.012234,0.014998,0.184272,51576,631,42072
2010-03,5520,VIETNAM,90,0.005083,0.022046,0.769438,6930284,35226,1597861
2010-03,5520,VIETNAM,91,0.050277,0.050277,0.0,7578,381,7578
2010-03,5520,VIETNAM,92,0.056556,0.056556,0.0,109696,6204,109696
2010-03,5520,VIETNAM,93,0.0,,1.0,14189,0,0
2010-03,5520,VIETNAM,94,0.000346,0.054411,0.993634,108258459,37496,689123
2010-03,5520,VIETNAM,95,0.009448,0.05001,0.811071,9572431,90444,1808508
2010-03,5520,VIETNAM,96,0.03472,0.043604,0.20373,2067526,71785,1646308
2010-03,5520,VIETNAM,97,0.0,,1.0,400437,0,0
2010-03,5520,VIETNAM,98,0.324589,0.5,0.350823,3218647,1044736,2089472
2010-03,5520,VIETNAM,99,0.0,0.0,0.0,3040359,0,3040359
2010-04,5520,VIETNAM,01,0.0,,1.0,7927,0,0
2010-04,5520,VIETNAM,02,0.064015,0.064015,0.0,28665,1835,28665
2010-04,5520,VIETNAM,03,0.000179,0.053175,0.996642,36784186,6569,123536
2010-04,5520,VIETNAM,04,0.009345,0.009345,0.0,2748458,25683,2748458
2010-04,5520,VIETNAM,05,0.0,,1.0,22656,0,0
2010-04,5520,VIETNAM,06,0.052803,0.052803,0.0,39638,2093,39638
2010-04,5520,VIETNAM,07,0.103188,0.103188,0.0,148273,15300,148273
2010-04,5520,VIETNAM,08,0.000893,0.023626,0.962197,11628986,10386,439607
2010-04,5520,VIETNAM,09,2.5e-05,0.01903,0.998685,37570535,940,49395
2010-04,5520,VIETNAM,10,0.01721,0.01721,0.0,740549,12745,740549
2010-04,5520,VIETNAM,11,0.0,,1.0,20379,0,0
2010-04,5520,VIETNAM,12,2.3e-05,0.000453,0.949986,308991,7,15454
2010-04,5520,VIETNAM,13,0.0,,1.0,10000,0,0
2010-04,5520,VIETNAM,14,0.0,,1.0,14297,0,0
2010-04,5520,VIETNAM,15,0.0,,1.0,65381,0,0
2010-04,5520,VIETNAM,16,0.05325,0.120965,0.559792,10903930,580632,4799999
2010-04,5520,VIETNAM,17,0.019516,0.019516,0.0,362009,7065,362009
2010-04,5520,VIETNAM,18,0.004316,0.02,0.784223,135093,583,29150
2010-04,5520,VIETNAM,19,0.029905,0.055684,0.462957,1953937,58432,1049348
2010-04,5520,VIETNAM,20,0.035551,0.058074,0.387834,2017447,71722,1235013
2010-04,5520,VIETNAM,21,0.096815,0.105415,0.081583,1200282,116205,1102359
2010-04,5520,VIETNAM,22,8.1e-05,0.000643,0.874058,37033,3,4664
2010-04,5520,VIETNAM,23,0.013949,0.013949,0.0,9176,128,9176
2010-04,5520,VIETNAM,24,0.08427,0.08427,0.0,213600,18000,213600
2010-04,5520,VIETNAM,25,0.0,,1.0,10210,0,0
2010-04,5520,VIETNAM,27,0.001039,0.001039,0.0,20243981,21030,20243981
2010-04,5520,VIETNAM,28,0.038381,0.038381,0.0,104713,4019,104713
2010-04,5520,VIETNAM,29,0.035349,0.035349,0.0,355427,12564,355427
2010-04,5520,VIETNAM,30,0.0,,1.0,56058,0,0
2010-04,5520,VIETNAM,32,0.057208,0.057208,0.0,540009,30893,540009
2010-04,5520,VIETNAM,33,0.0,,1.0,31480,0,0
2010-04,5520,VIETNAM,34,0.000754,0.037996,0.980145,7083470,5344,140645
2010-04,5520,VIETNAM,35,0.04079,0.04079,0.0,277199,11307,277199
2010-04,5520,VIETNAM,38,0.003824,0.003824,0.0,117414,449,117414
2010-04,5520,VIETNAM,39,0.04035,0.041382,0.02495,7951946,320858,7753541
2010-04,5520,VIETNAM,40,0.024764,0.03672,0.325578,10494509,259891,7077723
2010-04,5520,VIETNAM,42,0.138267,0.14565,0.050689,18881473,2610686,17924391
2010-04,5520,VIETNAM,43,0.016082,0.028034,0.426345,101296,1629,58109
2010-04,5520,VIETNAM,44,0.022263,0.047742,0.533685,2987504,66510,1393117
2010-04,5520,VIETNAM,45,0.0,,1.0,38458,0,0
2010-04,5520,VIETNAM,46,0.047556,0.054816,0.132432,1353071,64347,1173881
2010-04,5520,VIETNAM,48,0.0,,1.0,5415934,0,0
2010-04,5520,VIETNAM,49,0.0,,1.0,52236,0,0
2010-04,5520,VIETNAM,50,0.0,,1.0,47966,0,0
2010-04,5520,VIETNAM,52,0.089502,0.089502,0.0,534549,47843,534549
2010-04,5520,VIETNAM,53,0.0,,1.0,59889,0,0
2010-04,5520,VIETNAM,54,0.065003,0.121038,0.462955,536206,34855,287967
