data_month,series_id,rate,rate_dutiable,duty_free_share,con_val,cal_dut,dut_val,vintage_date,vintage_note
2010-03,ETRX-CN-85,0.010188,0.034078,0.70103,6200062845,63168258,1853632669,2026-08-24,backfill
2010-03,ETRX-CN-95,0.009521,0.047048,0.797634,1324416292,12609717,268016626,2026-08-24,backfill
2010-03,ETRX-EU,0.011402,0.031459,0.637569,26108359569,297682467,9462477319,2026-09-03,backfill
2010-03,ETRX-EU-87,0.023112,0.025168,0.081664,2644519620,61120916,2428558262,2026-08-24,backfill
2010-03,ETRX-IN,0.028916,0.07447,0.611715,2429535440,70251785,943352893,2026-09-03,backfill
2010-03,ETRX-JP,0.017531,0.029626,0.408274,10095752131,176983591,5973917238,2026-09-03,backfill
2010-03,ETRX-KR,0.014502,0.032639,0.555692,3521159570,51063362,1564478048,2026-09-03,backfill
2010-03,ETRX-MX,0.000788,0.027292,0.971139,19082181890,15030573,550734933,2026-09-03,backfill
2010-03,ETRX-MX-87,0.000762,0.025164,0.969728,3593970597,2737727,108794977,2026-08-24,backfill
2010-03,ETRX-PHARMA,1e-06,0.043325,0.999986,5257874740,3257,75176,2026-08-24,backfill
2010-03,ETRX-STEEL,0.005617,0.038621,0.854553,3923038730,22037222,570595688,2026-08-24,backfill
2010-03,ETRX-TW,0.01644,0.049976,0.671033,2499079257,41085817,822114959,2026-09-03,backfill
2010-03,ETRX-US,0.012441,0.043979,0.71712,150319948419,1870098034,42522495708,2026-08-24,backfill
2010-03,ETRX-US-INCL,0.01209,0.042904,0.718194,155313935660,1877816274,43768366187,2026-08-24,backfill
2010-03,ETRX-VN,0.096089,0.141988,0.323261,914784295,87900764,619069920,2026-09-03,backfill
2010-04,ETRX-APPAREL,0.12531,0.160714,0.220297,4948606680,620107726,3858443562,2026-08-24,backfill
2010-04,ETRX-CA,0.000494,0.009877,0.950015,22962865510,11336946,1147793961,2026-09-03,backfill
2010-04,ETRX-CA-44,0.006572,0.099486,0.933941,568534457,3736375,37556970,2026-08-24,backfill
2010-04,ETRX-CA-76,7.3e-05,0.032017,0.997721,648298201,47299,1477317,2026-08-24,backfill
2010-04,ETRX-CA-87,0.000292,0.025891,0.988736,3919050506,1142975,44145433,2026-08-24,backfill
2010-04,ETRX-CN,0.030006,0.071437,0.57997,25571766476,767294227,10740911884,2026-09-03,backfill
2010-04,ETRX-CN-84,0.003438,0.032798,0.89517,6517038712,22406764,683181810,2026-08-24,backfill
2010-04,ETRX-CN-85,0.010886,0.034222,0.68191,6373873945,69384555,2027467141,2026-08-24,backfill
2010-04,ETRX-CN-95,0.00961,0.047295,0.796802,1419992419,13646640,288540104,2026-08-24,backfill
2010-04,ETRX-EU,0.011663,0.030061,0.612028,23495590075,274022991,9115637866,2026-09-03,backfill
2010-04,ETRX-EU-87,0.022872,0.025198,0.092284,2530489279,57878376,2296965196,2026-08-24,backfill
2010-04,ETRX-IN,0.0282,0.064936,0.565719,2617953662,73827348,1136928810,2026-09-03,backfill
2010-04,ETRX-JP,0.017349,0.029831,0.41842,9286362664,161112552,5400758297,2026-09-03,backfill
2010-04,ETRX-KR,0.014213,0.031058,0.542383,3838856470,54560347,1756726688,2026-09-03,backfill
2010-04,ETRX-MX,0.000743,0.028808,0.974194,18406789076,13683813,474996628,2026-09-03,backfill
2010-04,ETRX-MX-87,0.000713,0.024735,0.971174,3256061718,2321532,93857964,2026-08-24,backfill
2010-04,ETRX-PHARMA,1e-06,0.049285,0.999978,4582264831,4984,101126,2026-08-24,backfill
2010-04,ETRX-STEEL,0.005431,0.040889,0.867184,3962730032,21520682,526314399,2026-08-24,backfill
2010-04,ETRX-TW,0.016635,0.049263,0.66232,2666069479,44350391,900277525,2026-09-03,backfill
2010-04,ETRX-US,0.012466,0.042259,0.704999,149968726792,1869557772,44240925134,2026-08-24,backfill
2010-04,ETRX-US-INCL,0.012171,0.041388,0.705937,154138705138,1875964045,45326464929,2026-08-24,backfill
2010-04,ETRX-VN,0.091843,0.139192,0.340171,1037983699,95331731,684891677,2026-09-03,backfill
2010-05,ETRX-APPAREL,0.125535,0.161194,0.221213,5129589332,643945555,3994854933,2026-08-24,backfill
2010-05,ETRX-CA,0.000484,0.010509,0.953928,22804991550,11041013,1050663123,2026-09-03,backfill
2010-05,ETRX-CA-44,0.005277,0.099086,0.946742,568919075,3002249,30299306,2026-08-24,backfill
2010-05,ETRX-CA-76,9.4e-05,0.034328,0.99727,624828337,58556,1705791,2026-08-24,backfill
2010-05,ETRX-CA-87,0.000282,0.026024,0.98918,4091973997,1152227,44275728,2026-08-24,backfill
2010-05,ETRX-CN,0.031592,0.072831,0.56623,28764495714,908721341,12477172470,2026-09-03,backfill
2010-05,ETRX-CN-84,0.003409,0.0324,0.894795,7111020783,24239301,748116064,2026-08-24,backfill
2010-05,ETRX-CN-85,0.012105,0.035514,0.659158,6944682232,84063856,2367041203,2026-08-24,backfill
2010-05,ETRX-CN-95,0.00857,0.047133,0.818173,1678140981,14381792,305131629,2026-08-24,backfill
2010-05,ETRX-EU,0.012043,0.030794,0.608933,24182054787,291213218,9456794014,2026-09-03,backfill
2010-05,ETRX-EU-87,0.023124,0.025153,0.080646,2622638855,60646159,2411134423,2026-08-24,backfill
2010-05,ETRX-IN,0.025447,0.063225,0.597527,2722976171,69290420,1095925728,2026-09-03,backfill
2010-05,ETRX-JP,0.016993,0.029597,0.425839,8411394282,142936802,4829495506,2026-09-03,backfill
2010-05,ETRX-KR,0.014529,0.031089,0.532643,3945903115,57331885,1844145289,2026-09-03,backfill
2010-05,ETRX-MX,0.000842,0.0311,0.972941,18848374634,15861827,510019052,2026-09-03,backfill
